脗	吻
脛	胫
脣	唇
脩	修
脫	脱
脹	胀
腎	肾
腖	胨
腡	脶
腦	脑
腫	肿
腳	脚
腸	肠
膁	肷
膃	腽
膚	肤
膠	胶
膩	腻
膽	胆
膾	脍
膿	脓
臉	脸
臋	臀
臍	脐
臏	膑
臒	癯
臕	膘
臘	腊
臙	胭
臚	胪
臝	裸
臟	脏
臠	脔
臥	卧
臨	临
臯	皋
臺	台
與	与
興	兴
舉	举
舊	旧
舖	铺
舘	馆
舩	船
艕	膀
艙	舱
艢	樯
艣	橹
艤	舣
艦	舰
艪	橹
艫	舻
艱	艰
艷	艳
艸	艹
芲	花
芻	刍
苧	苎
茘	荔
茲	兹
荊	荆
荳	豆
莊	庄
莖	茎
莢	荚
莧	苋
菑	灾
菓	果
華	华
菴	庵
萇	苌
萊	莱
萬	万
萲	萱
萵	莴
葉	叶
葒	荭
葠	参
葤	荮
葦	苇
葯	药
葷	荤
蒐	搜
蒓	莼
蒔	莳
蒞	莅
蒼	苍
蓀	荪
蓆	席
蓋	盖
蓡	参
蓧	莜
蓮	莲
蓯	苁
蓴	莼
蓽	荜
蔆	菱
蔔	卜
蔕	蒂
蔞	蒌
蔣	蒋
蔥	葱
蔦	茑
蔭	荫
蔴	麻
蔾	藜
蕁	荨
蕆	蒇
蕋	蕊
蕎	荞
蕒	荬
蕓	芸
蕕	莸
蕘	荛
蕚	萼
蕢	蒉
蕩	荡
蕪	芜
蕭	萧
蕷	蓣
蕿	萱
薈	荟
薊	蓟
薌	芗
薑	姜
薔	蔷
薙	剃
薟	莶
薦	荐
薩	萨
薺	荠
藍	蓝
藎	荩
藝	艺
藥	药
藪	薮
藶	苈
藷	薯
藹	蔼
藺	蔺
藼	萱
蘂	蕊
蘄	蕲
蘆	芦
蘇	苏
蘊	蕴
蘋	苹
蘐	萱
蘚	藓
蘞	蔹
蘢	茏
蘤	花
蘭	兰
蘺	蓠
蘿	萝
處	处
虖	呼
虛	虚
虜	虏
號	号
虧	亏
虯	虬
虵	蛇
蚘	蛔
蛕	蛔
蛺	蛱
蛻	蜕
蜆	蚬
蜋	螂
蜖	蛔
蜨	蝶
蜺	霓
蝕	蚀
蝟	猬
蝦	虾
蝨	虱
蝯	猿
蝳	玳
蝸	蜗
螄	蛳
螎	融
螘	蚁
螞	蚂
螡	蚊
螢	萤
螻	蝼
蟁	蚊
蟄	蛰
蟇	蟆
蟈	蝈
蟎	螨
蟣	虮
蟬	蝉
蟯	蛲
蟲	虫
蟶	蛏
蟻	蚁
蠅	蝇
蠆	虿
蠍	蝎
蠏	蟹
蠐	蛴
蠑	蝾
蠔	蚝
蠟	蜡
蠣	蛎
蠱	蛊
蠶	蚕
蠻	蛮
衆	众
衇	脉
衊	蔑
術	术
衕	同
衖	弄
衚	胡
衛	卫
衝	冲
衞	卫
衹	只
衺	邪
袞	衮
袠	帙
裊	袅
裌	夹
裏	里
補	补
裝	装
裠	裙
裡	里
裦	褒
製	制
複	复
褲	裤
褳	裢
褸	褛
褻	亵
襆	幞
襇	裥
襍	杂
襖	袄
襝	裣
襠	裆
